origins,destinations,path,free_flow_time,num_edges,total_length,mean_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,num_traffic_lights
-449650470#0,-177978054#5,"-449650470#0,-34324056#10,-34324056#8,-34324056#7,-34324056#6,-34324056#5,-34324056#4,-34324056#3,-34324056#2,-34324056#1,-34324056#0,26260420#2,1349606172,1349606171#3,586947143,1349606178,658001131,586948603,1349606170#0,1349606170#1,1349606170#2,1349606170#3,34323039#0,34323039#1,-34323039#1,34323039#1,667201283,412738028#12,13507730,177978054#0,177978054#1,177978054#2,177978054#3,177978054#4,177978054#5,177978054#6,177978054#7,-177978054#7,-177978054#6,-177978054#5",3.2162291366330984,40.0,1836.8016090839737,17.664102564102564,0.0,0.0,0.2902494053470953,0.19645516892943593,0.02882029920186297,0.0,0.0,0.0
-449650470#0,-177978054#5,"-449650470#0,-34324056#10,-34324056#8,-34324056#7,-34324056#6,-34324056#5,-34324056#4,-34324056#3,-34324056#2,-34324056#1,-34324056#0,26260420#2,1349606172,1349606171#3,586947143,1349606178,658001131,586948603,1349606170#0,1349606170#1,1349606170#2,1349606170#3,34323039#0,34323039#1,667201283,412738028#12,13507730,177978054#0,177978054#1,177978054#2,177978054#3,177978054#4,177978054#5,177978054#6,177978054#7,-177978054#7,-177978054#6,-177978054#5",2.787482469966432,38.0,1836.8016090839737,17.471052631578946,0.0,0.0,0.2902494053470953,0.19645516892943593,0.02882029920186297,0.0,0.0,0.0
-572525799#1,656246642#14,"-572525799#1,-572525799#0,601098680#0,601098680#1,-289991665,27314063,948159671#0,948159671#1,255099147#0,255099147#1,948159672,205332162#0,205332162#1,205212217#0,205212217#1,205212217#2,205212217#3,-704357421#2,-27628289#1,-27628289#0,-16380187#4,-16380187#3,-16380187#2,-16380187#1,-16380187#0,-572528502#5,-572528502#4,-572528502#3,-572528502#2,-572528502#1,-572528502#0,-572531849#4,-572531849#3,-572531849#2,-572531849#1,-572531849#0,-709082335#2,-709082335#1,-709082335#0,-662389041#1,-662389041#0,-691266027,656246642#0,656246642#1,656246642#2,656246642#3,656246642#4,656246642#5,656246642#6,656246642#7,656246642#8,656246642#9,656246642#10,656246642#11,656246642#12,656246642#13,656246642#14",4.51150615753861,57.0,2496.3816953993137,9.402982456140352,0.0,0.0,0.0,0.0,0.031428670712147534,0.0,0.40676333319163116,0.0
-572525799#1,656246642#14,"-572525799#1,-572525799#0,601098680#0,601098680#1,-289991665,289991665,-289991665,27314063,948159671#0,948159671#1,255099147#0,255099147#1,948159672,205332162#0,205332162#1,205212217#0,205212217#1,205212217#2,205212217#3,-704357421#2,-27628289#1,-27628289#0,-16380187#4,-16380187#3,-16380187#2,-16380187#1,-16380187#0,-572528502#5,-572528502#4,-572528502#3,-572528502#2,-572528502#1,-572528502#0,-572531849#4,-572531849#3,-572531849#2,-572531849#1,-572531849#0,-709082335#2,-709082335#1,-709082335#0,-662389041#1,-662389041#0,-691266027,656246642#0,656246642#1,656246642#2,656246642#3,656246642#4,656246642#5,656246642#6,656246642#7,656246642#8,656246642#9,656246642#10,656246642#11,656246642#12,656246642#13,656246642#14",4.512646066345906,59.0,2503.920304413512,9.480344827586205,0.0,0.0,0.0,0.0,0.03434477013471819,0.0,0.4055386817021893,0.0
-572525799#1,656246642#14,"-572525799#1,-572525799#0,601098680#0,601098680#1,-289991665,27314063,119297302,1206199380,577953891,255099147#0,255099147#1,948159672,205332162#0,205332162#1,205212217#0,205212217#1,205212217#2,205212217#3,-704357421#2,-27628289#1,-27628289#0,-16380187#4,-16380187#3,-16380187#2,-16380187#1,-16380187#0,-572528502#5,-572528502#4,-572528502#3,-572528502#2,-572528502#1,-572528502#0,-572531849#4,-572531849#3,-572531849#2,-572531849#1,-572531849#0,-709082335#2,-709082335#1,-709082335#0,-662389041#1,-662389041#0,-691266027,656246642#0,656246642#1,656246642#2,656246642#3,656246642#4,656246642#5,656246642#6,656246642#7,656246642#8,656246642#9,656246642#10,656246642#11,656246642#12,656246642#13,656246642#14",4.51902955566676,58.0,2510.3666346637697,9.480344827586206,0.0,0.0,0.0,0.0,0.031253585509451294,0.0055708752145397205,0.40449730542057033,0.0
656246642#14,-572525799#1,"656246642#14,656246642#15,656246642#16,656246642#17,656246642#18,656246642#19,-325893086#2,-325893086#1,-325893086#0,325893088#0,325893088#1,630800538,304496365#8,304496365#9,304496365#10,656246643,572531854#0,572531854#1,572531854#2,572531854#3,572531854#4,572531854#5,572531854#6,572531854#7,572531854#8,572531854#9,572531854#10,572528356,621532200#1,621532200#2,1107704969,-338207925,-22584557,-16379677#0,16379633#1,26260394,22584554#0,22584554#1,102015881#2,102015881#3,102015882#0,102015882#1,102015882#2,102015882#3,22584564,340424255#0,340424255#1,340424255#2,340424255#3,340424255#4,340424255#5,340424255#6,340424255#7,340424255#8,1370997470,1064509881#0,1064509881#1,27627887#0,27627887#1,27627887#2,27313589,1079423247,289991666#0,289991666#1,289991666#2,289991666#3,289991666#4,-27313569#2,-27313569#1,-27313569#0,-572525799#2,-572525799#1",6.099021379778712,72.0,3420.669100469412,10.066805555555554,0.0,0.0,0.0,0.1451412523772237,0.27162178756162386,0.0,0.5015592304008468,0.0
656246642#14,-572525799#1,"656246642#14,656246642#15,656246642#16,656246642#17,656246642#18,656246642#19,-325893086#2,-325893086#1,-325893086#0,325893088#0,325893088#1,630800538,304496365#8,304496365#9,304496365#10,656246643,572531854#0,572531854#1,572531854#2,572531854#3,572531854#4,572531854#5,572531854#6,572531854#7,572531854#8,572531854#9,572531854#10,572528356,621532200#1,621532200#2,1107704969,27628358#1,-27628358#1,-338207925,-22584557,-16379677#0,16379633#1,26260394,22584554#0,22584554#1,102015881#2,102015881#3,102015882#0,102015882#1,102015882#2,102015882#3,22584564,340424255#0,340424255#1,340424255#2,340424255#3,340424255#4,340424255#5,340424255#6,340424255#7,340424255#8,1370997470,1064509881#0,1064509881#1,27627887#0,27627887#1,27627887#2,27313589,1079423247,289991666#0,289991666#1,289991666#2,289991666#3,289991666#4,-27313569#2,-27313569#1,-27313569#0,-572525799#2,-572525799#1",6.254523580659064,74.0,3532.2870361368564,10.019864864864866,0.0,0.0,0.0,0.14055488473359895,0.2630387186038171,0.0,0.5015099597507575,0.0
656246642#14,-572525799#1,"656246642#14,656246642#15,656246642#16,656246642#17,656246642#18,656246642#19,-325893086#2,-325893086#1,-325893086#0,325893088#0,325893088#1,630800538,304496365#8,304496365#9,304496365#10,656246643,572531854#0,572531854#1,572531854#2,572531854#3,572531854#4,572531854#5,572531854#6,572531854#7,572531854#8,572531854#9,572531854#10,572528356,621532200#1,621532200#2,1107704969,-338207925,-22584557,16379677#1,-16379597#3,-16379597#2,26260394,22584554#0,22584554#1,102015881#2,102015881#3,102015882#0,102015882#1,102015882#2,102015882#3,22584564,340424255#0,340424255#1,340424255#2,340424255#3,340424255#4,340424255#5,340424255#6,340424255#7,340424255#8,1370997470,1064509881#0,1064509881#1,27627887#0,27627887#1,27627887#2,27313589,1079423247,289991666#0,289991666#1,289991666#2,289991666#3,289991666#4,-27313569#2,-27313569#1,-27313569#0,-572525799#2,-572525799#1",6.11162642179552,73.0,3428.9650933359626,10.043013698630137,0.0,0.0,0.0,0.1447900995478456,0.270964629395625,0.0,0.4765793700784504,0.0
-552991426#4,-326042525#5,"-552991426#4,-552991426#3,552991426#3,552991426#4,440861478,1064509882,1370997470,27651674#0,27651674#1,27651674#2,22960884#0,22960884#1,131117194,326042525#0,326042525#1,326042525#2,326042525#3,326042525#4,326042525#5,326042525#6,-326042525#6,-326042525#5",0.6290110243085165,22.0,704.5418506938914,15.908181818181815,0.0,0.0,0.0,0.0,0.5264356201796571,0.0,0.27086864304646635,0.0
-842001091#2,39736809#2,"-842001091#2,-842001091#1,102548613#0,102548613#1,102548613#2,102548613#3,1179711189,135405629,-34324056#10,-34324056#8,-34324056#7,-34324056#6,-34324056#5,-34324056#4,-34324056#3,-34324056#2,-34324056#1,-34324056#0,26260420#2,1349606172,1349606171#3,586947143,1349606178,658001131,586948603,1349606170#0,1349606170#1,1349606170#2,1349606170#3,34323039#0,34323039#1,667201283,412738028#12,412738028#13,412738028#0,5889814#0,177978056,177978070#0,177978070#2,16071844#0,16071844#1,39736809#0,39736809#1,39736809#2",3.36479561264611,44.0,2289.607656349006,16.098181818181818,0.0,0.0,0.3089626275957728,0.0,0.02312063020992721,0.06377015716918395,0.28538242916770024,1.0
