agent_id,origins,destinations,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence,cluster
0,-42762428#0,-100468681#2,0.9,0.9,0.9,0.1999999999999999,0.55,1.0,0.55,0.55,1.0,1.0,0.55,0.55,0.1,0.65,0.3,0.3,0.9,0.0,0.7,0.0,0.9,0.9,0.0,"8a755824206ffff,8a7558242a97fff,8a7558242a87fff,8a7558242aa7fff,8a7558242ab7fff,8a7558242b9ffff,8a7558242147fff,8a7558242167fff,8a7558242177fff,8a75582428dffff,8a75582428d7fff,8a755824288ffff",3
0,-42762428#0,-100468681#2,0.5,0.5,1.0,0.0,0.05,0.6,0.55,0.55,0.3,0.9,0.55,0.55,0.2,0.0999999999999999,0.9,0.9,0.5,0.4,0.9,0.85,0.3,0.0,0.8,"8a7558242a97fff,8a755824206ffff,8a7558242067fff,8a7558242077fff,8a755824200ffff,8a7558242007fff,8a7558242037fff,8a75582421affff,8a755824211ffff,8a755824212ffff,8a7558242127fff,8a7558242137fff,8a75582421a7fff,8a75582421b7fff,8a7558242ce7fff,8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff",3
0,-42762428#0,-100468681#2,0.0,0.0,0.8,0.5,0.55,0.8,0.55,0.55,0.1,0.1,0.55,0.55,1.0,0.65,0.8,0.8,0.1999999999999999,0.9,0.8,0.3,0.0,0.0999999999999999,0.9,"8a7558242a97fff,8a755824206ffff,8a7558242a9ffff,8a7558242327fff,8a7558242aaffff,8a7558242a1ffff,8a7558242a07fff,8a7558242a27fff,8a7558242a2ffff,8a7558242a0ffff,8a7558242af7fff,8a7558242ac7fff,8a7558242acffff,8a7558240697fff,8a7558242a6ffff,8a7558242a67fff,8a7558242a77fff,8a7558242b5ffff,8a7558242b0ffff,8a7558242b07fff,8a7558242b17fff,8a755824284ffff,8a755824285ffff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a755824281ffff,8a75582428f7fff,8a75582428d7fff,8a755824288ffff",1
0,-42762428#0,-100468681#2,0.0999999999999999,0.0999999999999999,0.4,0.6,0.55,0.4,0.55,0.55,0.7,0.3,0.55,0.55,0.6,0.3,0.0,0.0,0.8,0.6,0.0999999999999999,0.7,0.1999999999999999,0.3,0.1999999999999999,"8a755824206ffff,8a7558242a97fff,8a7558242a87fff,8a7558242aa7fff,8a7558242a17fff,8a7558242b8ffff,8a7558242b9ffff,8a7558242b87fff,8a7558242bb7fff,8a755824285ffff,8a755824284ffff,8a7558242b07fff,8a7558242b17fff,8a7558242b0ffff,8a7558242b2ffff,8a75582404dffff,8a75582404d7fff,8a755824048ffff,8a755824049ffff,8a7558240487fff,8a7558240497fff,8a7558242847fff,8a7558242877fff,8a75582428e7fff,8a75582428f7fff,8a75582428d7fff,8a75582428dffff,8a755824212ffff,8a7558242127fff,8a755824288ffff",0
0,-42762428#0,-100468681#2,0.3,0.3,0.65,0.35,0.55,0.7,0.55,0.55,0.4,0.6,0.55,0.55,0.9,0.65,0.1999999999999999,0.0999999999999999,0.6,0.7,0.3,0.0999999999999999,0.4,0.5,0.5,"8a7558242a97fff,8a755824206ffff,8a7558242a9ffff,8a7558242327fff,8a7558242af7fff,8a7558242a0ffff,8a7558242a1ffff,8a7558242a07fff,8a7558242a2ffff,8a7558242b5ffff,8a7558242b0ffff,8a7558242a27fff,8a7558242a17fff,8a7558242b8ffff,8a7558242aa7fff,8a7558242b9ffff,8a7558242147fff,8a7558242167fff,8a7558242177fff,8a75582428dffff,8a755824212ffff,8a7558242127fff,8a755824288ffff",0
0,-42762428#0,-100468681#2,0.7,0.7,0.3,0.7,0.55,0.3,0.55,0.55,0.9,0.5,0.55,0.55,0.4,0.65,0.4,0.4,0.3,0.8,0.0,0.4,0.7,0.8,0.3,"8a7558242a97fff,8a755824206ffff,8a7558242067fff,8a7558242a87fff,8a7558242aa7fff,8a7558242b9ffff,8a7558242b87fff,8a7558242bb7fff,8a755824285ffff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a75582428e7fff,8a75582428f7fff,8a75582428d7fff,8a755824288ffff",2
0,-42762428#0,-100468681#2,0.8,0.8,0.1,0.9,0.55,0.2,0.55,0.55,0.6,0.4,0.55,0.55,0.8,0.65,0.0999999999999999,0.1999999999999999,0.0999999999999999,0.0999999999999999,0.1999999999999999,0.1999999999999999,0.8,0.4,0.0999999999999999,"8a755824206ffff,8a7558242a97fff,8a7558242a87fff,8a7558242aa7fff,8a7558242a17fff,8a7558242a27fff,8a7558242b0ffff,8a7558242b07fff,8a7558242b17fff,8a755824284ffff,8a755824285ffff,8a7558242847fff,8a7558242877fff,8a75582428e7fff,8a75582428f7fff,8a75582428d7fff,8a755824288ffff",2
0,-42762428#0,-100468681#2,0.1999999999999999,0.1999999999999999,0.5,0.0999999999999999,0.05,0.5,0.55,0.55,0.2,0.8,0.55,0.55,0.3,0.1999999999999999,0.7,0.7,0.7,0.1999999999999999,0.6,0.85,0.0999999999999999,0.1999999999999999,0.6,"8a7558242a97fff,8a755824206ffff,8a7558242067fff,8a7558242ab7fff,8a7558242b9ffff,8a7558242b87fff,8a7558242bb7fff,8a755824285ffff,8a7558242847fff,8a7558242877fff,8a75582428e7fff,8a75582428f7fff,8a75582428d7fff,8a75582428dffff,8a755824212ffff,8a755824211ffff,8a75582421affff,8a75582421b7fff,8a7558242ce7fff,8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff",1
0,-42762428#0,-100468681#2,0.4,0.6,0.2,0.8,0.55,0.1,0.55,0.55,0.5,0.7,0.55,0.55,0.5,0.0,0.5,0.5,0.4,0.3,0.5,0.5,0.6,0.7,0.7,"8a7558242a97fff,8a755824206ffff,8a7558242047fff,8a7558242067fff,8a7558242ab7fff,8a7558242b9ffff,8a7558242147fff,8a7558242167fff,8a7558242177fff,8a75582428dffff,8a755824212ffff,8a755824211ffff,8a75582421affff,8a75582421b7fff,8a75582421a7fff,8a7558242137fff,8a7558242127fff,8a755824288ffff",0
0,-42762428#0,-100468681#2,0.6,0.4,0.65,0.35,0.55,0.9,0.55,0.55,0.8,0.2,0.55,0.55,0.7,0.65,0.6,0.6,0.0,0.5,0.4,0.6,0.5,0.6,0.4,"8a7558242a97fff,8a755824206ffff,8a7558242a9ffff,8a7558242327fff,8a7558242af7fff,8a7558242a0ffff,8a7558242a2ffff,8a7558242b5ffff,8a7558242b0ffff,8a7558242b1ffff,8a7558242a37fff,8a7558242b8ffff,8a7558242aa7fff,8a7558242b9ffff,8a7558242b87fff,8a7558242bb7fff,8a755824285ffff,8a7558242847fff,8a7558242877fff,8a75582428e7fff,8a75582428f7fff,8a75582428d7fff,8a755824288ffff",4
